branch_code,bic_code_swift,bank_name,bank_branch,bank_branch_address,city,bank_phone,bank_fax
142948,NEDSZAJJ,NEDBANK LIMITED,POLOKWANE LANDROS MARE STR,"52 LANDDROS MARE STREET, , POLOKWANE",,"(015), 291-0500","(015), 291-0530"
107410,NEDSZAJJ,NEDBANK LIMITED,PORT ALFRED,"SHOP 6A 1ST FLOOR HERITAGE MALL, CNR GLUCKMAN & BISCAY ROADS, PORT ALFRED",EASTERN CAPE,"(046 ), 604-3900","(046 ), 604-3903"
101023,NEDSZAJJ,NEDBANK LIMITED,PORT ELIZABETH G4S,"NEDBANK PLATTEKLOOF, BLOULELIE STREET, CAPE TOWN",WESTERN CAPE,"(021 ), 928-2274","(021 ), 928-2013"
116717,NEDSZAJJ,NEDBANK LIMITED,PORT ELIZABETH GLOBAL BUS CNT,"GROUND FLOOR 81 SECOND AVENUE, , NEWTON PARK",PORT ELIZABETH,"(041), 501-7400","(041), 501-7442"
139828,NEDSZAJJ,NEDBANK LIMITED,PORT SHEPSTONE,"SHOP 28A ORIBI PLAZA, AIKEN STREET, PORT SHEPSTONE",KWAZULU NATAL,"(039 ), 688-9300","(039 ), 688-9324"
162328,NEDSZAJJ,NEDBANK LIMITED,PORT SHEPSTONE CENTRAL,"37 REYNOLDS STREET, , PORT SHEPSTONE",,"(039 ), 688-9000","(039 ), 688-9020/30"
101325,NEDSZAJJ,NEDBANK LIMITED,PORT SHEPSTONE CSC,"DOLPHIN CENTRE, BAZLEY STREET, , PORT SHEPSTONE",KWAZULU NATAL,039 688-1400,039 688-1409
101026,NEDSZAJJ,NEDBANK LIMITED,PORT SHEPSTONE G4S,"NEDBANK RIDGESIDE CAMPUS, 2 NCONDO PLACE, DURBAN",KWAZULU NATAL,"(031 ), 536-5525","(031 ), 364-0252"
171338,NEDSZAJJ,NEDBANK LIMITED,POTCHEFSTROOM,"SHOP 98 MOOIRIVIER MALL, CNR NELSON MANDELA & GOVAN MBEKI DRIVE, POTCHEFSTROOM",NORTHWEST,018 293-9813,018 293-9822
171438,NEDSZAJJ,NEDBANK LIMITED,POTCHEFSTROOM UNIVERSITY,"GROENMAKER CENTRE, 140 STEVE BIKO AVENUE, POTCHEFSTROOM",NORTH WEST,"(018 ), 294-2000","(018 ), 294-2020"
162734,NEDSZAJJ,NEDBANK LIMITED,PRELLER SQUARE,"SHOP 27 & 28 PRELLER SQUARE LOUW WEPENER, STREET,",BLOEMFONTEIN,051 406-1400,051 406-1442
101267,NEDSZAJJ,NEDBANK LIMITED,PREMFIN,"NEDBANK, 135 RIVONIA RD, H BLOCK, 5TH FLOOR, , SANDTON",GAUTENG,011 294-4444,011 295-5555
162050,NEDSZAJJ,NEDBANK LIMITED,PREMIER MINE PRETORIA,"124 OAK AVENUE, CULLINAN,",,"(012 ), 734-7060","(012 ), 737-7078"
160445,NEDSZAJJ,NEDBANK LIMITED,PRETORIA,"CNR CHURCH & ANDRIES STREET, , PRETORIA",GAUTENG,012 338-6400,012 338-6103
